"image.files","Perimeter","Area","Width.Mid.height","Maximum.Width","Height.Mid.width","Maximum.Height","Curved.Height","X"
"XC79.tif - 2","33,9712","57,596","7,2263","8,8646","8,4709","10,6934","11,9302",NA
"XC79.tif - 3","32,5448","53,8304","6,8707","8,4582","7,4422","10,0203","11,8058",NA
"XC79.tif - 4","39,3243","77,5532","9,2329","10,0838","8,4963","11,7729","13,9705",NA
"XC81_1.tif - 1","47,9469","115,4051","11,2522","12,0777","10,1219","13,7795","14,3707",NA
"XC81_2.tif - 1","39,178","67,4528","9,1313","10,0838","8,0772","10,9728","11,6056",NA
"XC81_2.tif - 2","41,7838","83,105","9,271","10,4267","9,9695","13,1191","14,7014",NA
"XC83.tif - 1","40,9125","91,4098","10,1981","11,43","9,2964","12,1666","13,8774",NA
"XC83.tif - 2","35,3502","61,4818","8,2804","9,5631","7,9629","10,4902","11,803",NA
"XC84.tif - 1","39,6131","75,0092","8,0645","9,3091","11,0363","12,7889","14,7691",NA
"XC84.tif - 2","34,8496","65,1328","7,8613","8,5852","10,0965","11,4173","12,6662",NA
"XC84.tif - 3","39,0008","77,7008","8,5217","10,1092","9,4996","12,0523","14,066",NA
"XC84.tif - 4","35,5273","65,9452","8,0137","8,8265","9,2075","11,4173","12,796",NA
"XC86_1.tif - 1","43,3342","89,344","10,0584","10,4394","8,5471","12,1666","13,1788",NA
"XC86_1.tif - 2","46,8764","104,0079","11,2903","11,5062","8,5217","12,3952","15,2887",NA
"XC86_2.tif - 1","51,5186","122,3878","12,6365","12,827","8,0899","12,9794","16,3661",NA
"XC88.tif - 1","36,3896","67,2865","8,2296","9,0043","9,6647","12,0396","13,1756",NA
"XC88.tif - 2","32,9035","55,0538","6,9342","8,6106","9,271","10,6426","11,5634",NA
"XC88.tif - 3","35,1816","65,6331","8,1407","9,2075","8,7376","11,0109","12,3503",NA
"XC88.tif - 4","37,9757","76,8174","9,8425","10,3124","8,8392","10,5537","12,7936",NA
"XC89_1.tif - 1","42,1814","82,7032","9,7409","10,9474","10,1854","12,1412","14,3927",NA
"XC89_1.tif - 2","42,0367","83,7479","9,7155","10,6553","9,6901","11,6713","13,8956",NA
"XC89_2.tif - 1","36,1248","68,8241","8,3947","9,7155","9,3599","11,2649","12,448",NA
"XC89_2.tif - 2","43,1374","93,515","10,1854","11,0109","10,9728","12,827","15,1064",NA
"XC90_1.tif - 1","40,4999","85,8263","10,16","11,1125","8,9154","11,4935","13,6823",NA
"XC90_1.tif - 2","41,3851","85,2787","10,3378","10,9982","9,017","12,2047","13,4529",NA
"XC90_2.tif - 1","41,9693","86,6134","9,7917","10,9093","9,398","12,319","14,6801",NA
"XC90_2.tif - 2","43,0194","88,3148","9,906","10,795","8,4709","12,8016","15,4111",NA
"XC91.tif - 1","38,1212","71,2595","8,3185","9,8425","9,2837","11,7602","13,5067",NA
"XC91.tif - 2","29,795","46,2326","6,5913","7,8105","8,2677","9,3472","10,502",NA
"XC91.tif - 3","36,2566","63,9337","8,0899","8,9408","8,0391","10,9601","12,9377",NA
"XC91.tif - 4","37,6312","70,6774","8,3439","9,7663","9,7663","11,5697","13,2112",NA
"XC93_1.tif - 1","36,2044","67,1162","8,8138","9,9822","8,0899","10,6299","12,312",NA
"XC93_1.tif - 2","39,4677","85,4176","9,4488","10,1854","10,7188","12,573","14,1532",NA
"XC93_2.tif - 1","45,1146","101,5162","10,8839","11,049","10,5537","14,1732","16,2999",NA
"XC93_2.tif - 2","33,6563","55,7305","7,5692","7,7089","8,0137","10,5156","10,9514",NA
"XC96.tif - 1","37,8413","62,3705","7,4041","9,6266","8,8773","11,049","13,1288",NA
"XC96.tif - 2","39,8481","71,4457","8,763","9,4996","8,7757","11,9761","15,1008",NA
"XC96.tif - 3","36,0169","66,7508","8,3693","9,8679","8,4836","10,7696","12,6473",NA
"XC96.tif - 4","38,6943","71,4994","8,7503","9,0043","8,8138","11,8872","13,9235",NA
"XC97.tif - 1","44,3902","91,6106","10,6172","11,7348","8,9789","12,319","13,5132",NA
"XC98.tif - 1","40,7844","79,0947","8,1915","9,9949","9,7028","12,9667","14,7547",NA
"XC98.tif - 2","31,051","53,2433","7,8105","8,6106","6,9977","8,8773","10,3038",NA
"XC98.tif - 3","27,391","43,3118","7,0358","7,3406","7,0612","8,2804","9,0312",NA
"XC98.tif - 4","33,8295","57,7839","6,7818","8,6106","8,1661","10,541","11,4197",NA
"XC100.tif - 1","35,5378","58,8752","7,5438","8,5217","8,3058","11,0617","11,4216",NA
"XC100.tif - 2","39,5736","72,9902","8,7376","8,9916","9,0043","12,2809","12,9662",NA
"XC100.tif - 3","26,4559","34,9264","6,0706","6,5659","6,4135","8,5471","9,4883",NA
"XC101_1.tif - 1","40,6041","80,0139","9,5504","10,9474","9,3472","11,9126","13,8705",NA
"XC101_1.tif - 2","35,5024","69,3197","8,6106","10,0584","9,3091","10,6426","11,8016",NA
"XC101_2.tif - 1","45,7833","107,3153","10,8966","11,811","11,3411","13,843","16,4316",NA
"XC101_2.tif - 2","38,0603","67,4184","7,9121","9,271","9,1821","11,6967","13,7871",NA
"XC102_1.tif - 1","47,1238","103,183","9,9314","11,4935","10,4648","13,97","14,1845",NA
"XC102_1.tif - 2","42,7041","88,5635","10,1219","10,9601","8,9027","12,5349","13,0956",NA
"XC102_2.tif - 1","52,7869","128,3297","12,3698","12,6746","9,8679","15,3289","17,2436",NA
"XC102_2.tif - 2","36,0394","62,4923","8,3185","9,1059","7,7216","10,8458","11,3044",NA
"XC104.tif - 1","35,1478","67,702","8,89","9,9314","8,0518","10,3251","11,9932",NA
"XC104.tif - 2","44,2736","96,7655","10,0584","11,4554","11,0109","13,7795","15,5085",NA
"XC104.tif - 3","36,4535","69,817","8,9535","9,9695","8,8519","10,8204","12,4521",NA
"XC105_1.tif - 1","42,8743","97,1074","10,8585","11,6332","9,4488","12,6619","12,6037",NA
"XC105_1.tif - 2","42,4032","95,1155","11,0998","11,303","9,7663","12,6619","12,5372",NA
"XC105_2.tif - 1","40,7965","85,4534","10,5791","11,1252","7,8994","11,4427","11,8204",NA
"XC105_2.tif - 2","43,9001","101,6392","11,3538","11,7475","9,5885","12,9667","13,2477",NA
"XC106.tif - 1","42,7716","99,0534","9,9568","10,9093","11,684","13,5763","15,6243",NA
"XC106.tif - 2","37,5709","77,6586","9,2075","9,8552","10,1854","12,065","13,2748",NA
"XC106.tif - 3","38,1474","73,7589","9,0424","9,2202","9,525","12,2428","13,9275",NA
"XC107_1.tif - 1","40,4012","85,2434","9,017","10,2108","9,4996","12,7254","12,8184",NA
"XC107_1.tif - 2","39,0641","80,4823","9,1948","9,9949","9,5758","12,5095","12,1654",NA
"XC107_2.tif - 1","41,1629","85,9508","9,906","10,4902","9,2202","12,7762","12,5928",NA
"XC107_2.tif - 2","45,196","105,1022","10,5537","11,2776","10,6553","13,9192","14,323",NA
"XC109.tif - 1","41,2675","84,5332","8,8138","10,5791","10,033","12,7889","14,5198",NA
"XC110_1.tif - 1","44,5245","104,8648","11,3411","12,4841","9,525","13,1191","15,2017",NA
"XC110_1.tif - 2","43,9533","98,1154","10,5664","12,3825","9,5377","11,938","13,9675",NA
"XC110_2.tif - 1","51,2696","138,2741","12,5095","13,97","12,5603","15,4178","17,8024",NA
"XC110_2.tif - 2","45,7117","113,0211","11,2395","12,5603","10,3505","13,7414","13,9418",NA
"XC113_1.tif - 1","42,9577","88,7043","8,9408","10,922","10,4775","13,2334","14,9151",NA
"XC113_1.tif - 2","37,1245","74,3611","8,9154","10,4521","9,3091","11,0109","12,4425",NA
"XC113_2.tif - 1","43,7902","99,4038","11,2903","12,2936","9,9949","11,9253","14,2072",NA
"XC113_2.tif - 2","37,9244","69,4426","8,2296","8,9535","9,398","12,4079","14,0689",NA
"XC115_1.tif - 1","40,0058","80,9132","9,8171","11,1252","9,4615","11,7856","13,1108",NA
"XC115_1.tif - 2","40,3853","81,9134","9,5377","11,3792","10,1473","11,7729","13,4932",NA
"XC115_2.tif - 1","45,048","102,4224","10,5664","11,9507","11,0109","13,3223","15,5922",NA
"XC115_2.tif - 2","37,041","72,1253","8,3185","9,9187","10,4013","11,3157","12,8266",NA
"XC117_1.tif - 1","49,3789","119,3627","11,6713","12,6492","10,4648","14,097","15,2704",NA
"XC117_2.tif - 1","39,3763","80,0108","10,16","10,9601","7,7851","10,8839","11,7227",NA
"XC117_2.tif - 2","43,6686","96,9296","11,1379","11,8237","8,7249","12,2301","12,8885",NA
"XC118.tif - 1","35,3232","59,51","6,7945","8,0391","9,0043","11,4808","12,6116",NA
"XC118.tif - 2","33,3938","55,1457","7,3914","7,8613","8,1534","10,8331","12,1251",NA
"XC118.tif - 3","33,43","55,268","7,6581","8,6995","7,3025","9,9822","10,4558",NA
"XC118.tif - 4","39,255","79,6919","9,2456","10,0076","9,8425","12,1031","13,9863",NA
"XC120.tif - 1","42,064","91,819","9,9822","10,5283","10,2616","13,4366","15,4241",NA
"XC120.tif - 2","38,5641","78,3113","9,1059","9,8679","10,414","12,2428","13,2112",NA
"XC120.tif - 3","39,4077","78,5637","8,7757","9,8044","10,4775","12,2555","14,2485",NA
"XC120.tif - 4","33,7892","60,8912","7,4803","8,5725","8,6868","10,7696","12,1253",NA
"XC123_1.tif - 1","41,1113","84,2043","12,065","12,8524","8,0772","11,0109","12,2823",NA
"XC123_1.tif - 2","44,7598","103,6964","11,8872","13,081","8,6995","12,3063","14,7968",NA
"XC123_2.tif - 1","45,9391","121,4917","12,1793","13,7414","11,9253","13,5636","14,7246",NA
"XC123_2.tif - 2","40,1266","87,8266","11,049","12,5603","9,7409","10,9601","11,9494",NA
"XC124_1.tif - 1","47,469","110,5843","10,1473","11,1252","11,9126","14,4018","17,0526",NA
"XC124_1.tif - 2","38,0855","69,5679","7,0866","9,2329","10,0965","12,2428","13,9723",NA
"XC124_2.tif - 1","45,2732","94,0974","8,8392","10,8966","10,6426","13,9446","16,2454",NA
"XC124_2.tif - 2","48,451","106,6282","9,7663","11,2014","11,938","14,7066","17,7361",NA
"XC127_1.tif - 1","41,8492","98,0001","9,7409","10,8712","10,8839","12,9794","14,3492",NA
"XC127_1.tif - 2","36,0014","68,0653","8,4201","9,3345","8,9281","10,922","11,1971",NA
"XC127_2.tif - 1","39,3045","80,5098","10,0203","10,4394","8,1788","11,176","13,3195",NA
