T_656	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_657	Madres	132	141	242	216	262	356	93	99	97	184	142	161	224	239	119	302
T_657	Madres	134	146	244	218	266	358	99	101	105	192	-9	177	230	247	122	306
T_657	Madres	-9	155	248	-9	272	-9	105	-9	107	194	-9	179	232	251	136	-9
T_657	Madres	-9	-9	-9	-9	282	-9	-9	-9	109	200	-9	-9	-9	-9	-9	-9
T_658	Madres	132	155	246	216	251	358	93	101	97	186	142	159	224	239	119	306
T_658	Madres	-9	-9	248	218	253	-9	101	116	99	192	-9	161	226	251	133	318
T_658	Madres	-9	-9	250	-9	272	-9	111	-9	101	194	-9	163	230	255	148	-9
T_658	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	234	-9	-9	-9
T_659	Madres	135	155	242	218	266	356	93	101	101	194	142	155	224	255	119	306
T_659	Madres	144	159	-9	-9	-9	-9	-9	103	103	198	-9	161	228	-9	-9	-9
T_659	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_659	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-1	Brinzales	135	155	246	216	262	356	103	101	101	186	142	159	228	255	110	304
EBRO 29-1	Brinzales	146	159	250	218	264	358	-9	-9	-9	194	-9	163	232	261	119	-9
EBRO 29-1	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-1	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-2	Brinzales	135	153	246	218	251	356	93	101	101	196	142	159	228	255	119	304
EBRO 29-2	Brinzales	-9	155	248	232	264	358	103	-9	-9	198	-9	167	232	261	-9	-9
EBRO 29-2	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-2	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-3	Brinzales	135	155	246	222	255	356	93	101	99	173	142	159	232	249	108	304
EBRO 29-3	Brinzales	144	-9	248	232	264	360	-9	-9	107	196	-9	163	234	255	119	-9
EBRO 29-3	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-3	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-4	Brinzales	135	153	246	224	264	356	103	101	101	184	142	159	228	249	110	304
EBRO 29-4	Brinzales	-9	155	250	232	-9	360	105	-9	107	186	-9	167	232	257	119	-9
EBRO 29-4	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-4	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-5	Brinzales	135	155	244	218	264	356	93	101	101	184	142	159	228	257	119	304
EBRO 29-5	Brinzales	-9	-9	246	232	-9	358	-9	-9	107	186	-9	161	-9	261	-9	-9
EBRO 29-5	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-5	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
EBRO 29-6	Brinzales	135	155	246	216	262	356	93	101	101	186	142	155	228	249	119	304
EBRO 29-6	Brinzales	-9	-9	-9	232	264	358	-9	103	107	194	-9	159	-9	255	136	-9
EBRO 29-6	Brinzales	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
